iter,time,est_name,n_fe,dgp_name,n_obs,language
2,0.148167875013314,pyfixest.fepois (numba),2,simple,100000,python
3,0.137417791003827,pyfixest.fepois (numba),2,simple,100000,python
1,0.507088167010807,pyfixest.fepois (numba),3,simple,100000,python
2,0.483790375001263,pyfixest.fepois (numba),3,simple,100000,python
3,0.550193667004351,pyfixest.fepois (numba),3,simple,100000,python
1,0.143610792001709,pyfixest.fepois (rust),2,simple,100000,python
2,0.145398874999955,pyfixest.fepois (rust),2,simple,100000,python
3,0.137432666961104,pyfixest.fepois (rust),2,simple,100000,python
1,0.506631165975705,pyfixest.fepois (rust),3,simple,100000,python
2,0.481272041972261,pyfixest.fepois (rust),3,simple,100000,python
3,0.548152459028643,pyfixest.fepois (rust),3,simple,100000,python
1,1.13331890106201,GLFixedEffectModels Poisson,2,difficult,500000,julia
2,1.14988803863525,GLFixedEffectModels Poisson,2,difficult,500000,julia
3,1.02254986763,GLFixedEffectModels Poisson,2,difficult,500000,julia
1,47.4501950740814,GLFixedEffectModels Poisson,3,difficult,500000,julia
2,41.0811538696289,GLFixedEffectModels Poisson,3,difficult,500000,julia
3,48.3539710044861,GLFixedEffectModels Poisson,3,difficult,500000,julia
1,,fixest::fepois,2,difficult,500000,r
2,,fixest::fepois,2,difficult,500000,r
3,,fixest::fepois,2,difficult,500000,r
1,,fixest::fepois,3,difficult,500000,r
2,,fixest::fepois,3,difficult,500000,r
3,,fixest::fepois,3,difficult,500000,r
1,0.726481915975455,pyfixest.fepois (numba),2,difficult,500000,python
2,0.733238375047222,pyfixest.fepois (numba),2,difficult,500000,python
3,0.729678625008091,pyfixest.fepois (numba),2,difficult,500000,python
1,,pyfixest.fepois (numba),3,difficult,500000,python
2,,pyfixest.fepois (numba),3,difficult,500000,python
3,,pyfixest.fepois (numba),3,difficult,500000,python
1,0.737228416022845,pyfixest.fepois (rust),2,difficult,500000,python
2,0.730251125001814,pyfixest.fepois (rust),2,difficult,500000,python
3,0.744929707958363,pyfixest.fepois (rust),2,difficult,500000,python
1,,pyfixest.fepois (rust),3,difficult,500000,python
2,,pyfixest.fepois (rust),3,difficult,500000,python
3,,pyfixest.fepois (rust),3,difficult,500000,python
1,0.926424980163574,GLFixedEffectModels Poisson,2,simple,500000,julia
2,0.915357828140259,GLFixedEffectModels Poisson,2,simple,500000,julia
3,1.07393193244934,GLFixedEffectModels Poisson,2,simple,500000,julia
1,2.62575006484985,GLFixedEffectModels Poisson,3,simple,500000,julia
2,3.58165097236633,GLFixedEffectModels Poisson,3,simple,500000,julia
3,3.94887495040894,GLFixedEffectModels Poisson,3,simple,500000,julia
1,,fixest::fepois,2,simple,500000,r
2,,fixest::fepois,2,simple,500000,r
3,,fixest::fepois,2,simple,500000,r
1,,fixest::fepois,3,simple,500000,r
2,,fixest::fepois,3,simple,500000,r
3,,fixest::fepois,3,simple,500000,r
1,0.661276000028011,pyfixest.fepois (numba),2,simple,500000,python
2,0.65032454096945,pyfixest.fepois (numba),2,simple,500000,python
3,0.700527792039793,pyfixest.fepois (numba),2,simple,500000,python
1,2.4568534999853,pyfixest.fepois (numba),3,simple,500000,python
2,3.96986187499715,pyfixest.fepois (numba),3,simple,500000,python
3,7.01607416698244,pyfixest.fepois (numba),3,simple,500000,python
1,0.675632875005249,pyfixest.fepois (rust),2,simple,500000,python
2,0.655923166021239,pyfixest.fepois (rust),2,simple,500000,python
3,0.710543000022881,pyfixest.fepois (rust),2,simple,500000,python
1,2.45643091597594,pyfixest.fepois (rust),3,simple,500000,python
2,3.98198949999642,pyfixest.fepois (rust),3,simple,500000,python
3,7.03045116597787,pyfixest.fepois (rust),3,simple,500000,python
1,2.0432300567627,GLFixedEffectModels Poisson,2,difficult,1000000,julia
2,2.01701092720032,GLFixedEffectModels Poisson,2,difficult,1000000,julia
3,1.88506698608398,GLFixedEffectModels Poisson,2,difficult,1000000,julia
1,,GLFixedEffectModels Poisson,3,difficult,1000000,julia
2,,GLFixedEffectModels Poisson,3,difficult,1000000,julia
3,,GLFixedEffectModels Poisson,3,difficult,1000000,julia
1,,fixest::fepois,2,difficult,1000000,r
2,,fixest::fepois,2,difficult,1000000,r
3,,fixest::fepois,2,difficult,1000000,r
1,,fixest::fepois,3,difficult,1000000,r
2,,fixest::fepois,3,difficult,1000000,r
3,,fixest::fepois,3,difficult,1000000,r
1,3.22543920896715,pyfixest.fepois (numba),2,difficult,1000000,python
2,3.28350412502186,pyfixest.fepois (numba),2,difficult,1000000,python
3,3.09981416701339,pyfixest.fepois (numba),2,difficult,1000000,python
1,,pyfixest.fepois (numba),3,difficult,1000000,python
2,,pyfixest.fepois (numba),3,difficult,1000000,python
3,,pyfixest.fepois (numba),3,difficult,1000000,python
1,3.08077191602206,pyfixest.fepois (rust),2,difficult,1000000,python
2,3.05134912498761,pyfixest.fepois (rust),2,difficult,1000000,python
3,2.9894834580482,pyfixest.fepois (rust),2,difficult,1000000,python
1,,pyfixest.fepois (rust),3,difficult,1000000,python
2,,pyfixest.fepois (rust),3,difficult,1000000,python
3,,pyfixest.fepois (rust),3,difficult,1000000,python
1,2.21726894378662,GLFixedEffectModels Poisson,2,simple,1000000,julia
2,2.26127696037293,GLFixedEffectModels Poisson,2,simple,1000000,julia
3,1.81442618370056,GLFixedEffectModels Poisson,2,simple,1000000,julia
1,8.1049211025238,GLFixedEffectModels Poisson,3,simple,1000000,julia
2,10.2699918746948,GLFixedEffectModels Poisson,3,simple,1000000,julia
3,6.07782101631165,GLFixedEffectModels Poisson,3,simple,1000000,julia
1,,fixest::fepois,2,simple,1000000,r
2,,fixest::fepois,2,simple,1000000,r
3,,fixest::fepois,2,simple,1000000,r
1,,fixest::fepois,3,simple,1000000,r
2,,fixest::fepois,3,simple,1000000,r
3,,fixest::fepois,3,simple,1000000,r
1,1.46432895795442,pyfixest.fepois (numba),2,simple,1000000,python
2,1.38619112502784,pyfixest.fepois (numba),2,simple,1000000,python
3,1.35995008394821,pyfixest.fepois (numba),2,simple,1000000,python
1,16.0530171249993,pyfixest.fepois (numba),3,simple,1000000,python
2,8.82595983298961,pyfixest.fepois (numba),3,simple,1000000,python
3,6.53455358301289,pyfixest.fepois (numba),3,simple,1000000,python
1,1.5259405419929,pyfixest.fepois (rust),2,simple,1000000,python
2,1.4210075000301,pyfixest.fepois (rust),2,simple,1000000,python
3,1.40015395899536,pyfixest.fepois (rust),2,simple,1000000,python
1,16.0858546249801,pyfixest.fepois (rust),3,simple,1000000,python
2,8.80491245805752,pyfixest.fepois (rust),3,simple,1000000,python
3,6.54284566699062,pyfixest.fepois (rust),3,simple,1000000,python
1,4.56125688552856,GLFixedEffectModels Poisson,2,difficult,2000000,julia
2,4.52877998352051,GLFixedEffectModels Poisson,2,difficult,2000000,julia
3,4.02973389625549,GLFixedEffectModels Poisson,2,difficult,2000000,julia
1,,GLFixedEffectModels Poisson,3,difficult,2000000,julia
2,,GLFixedEffectModels Poisson,3,difficult,2000000,julia
3,,GLFixedEffectModels Poisson,3,difficult,2000000,julia
1,,fixest::fepois,2,difficult,2000000,r
2,,fixest::fepois,2,difficult,2000000,r
3,,fixest::fepois,2,difficult,2000000,r
1,,fixest::fepois,3,difficult,2000000,r
2,,fixest::fepois,3,difficult,2000000,r
3,,fixest::fepois,3,difficult,2000000,r
1,4.6734632080188,pyfixest.fepois (numba),2,difficult,2000000,python
2,4.71261429198785,pyfixest.fepois (numba),2,difficult,2000000,python
3,4.55479604197899,pyfixest.fepois (numba),2,difficult,2000000,python
1,,pyfixest.fepois (numba),3,difficult,2000000,python
2,,pyfixest.fepois (numba),3,difficult,2000000,python
3,,pyfixest.fepois (numba),3,difficult,2000000,python
1,4.53521287499461,pyfixest.fepois (rust),2,difficult,2000000,python
2,4.58836112503195,pyfixest.fepois (rust),2,difficult,2000000,python
3,4.43914316600421,pyfixest.fepois (rust),2,difficult,2000000,python
1,,pyfixest.fepois (rust),3,difficult,2000000,python
2,,pyfixest.fepois (rust),3,difficult,2000000,python
3,,pyfixest.fepois (rust),3,difficult,2000000,python
1,4.03498101234436,GLFixedEffectModels Poisson,2,simple,2000000,julia
2,4.24557304382324,GLFixedEffectModels Poisson,2,simple,2000000,julia
3,4.01155185699463,GLFixedEffectModels Poisson,2,simple,2000000,julia
1,13.3638482093811,GLFixedEffectModels Poisson,3,simple,2000000,julia
2,13.6084229946136,GLFixedEffectModels Poisson,3,simple,2000000,julia
3,15.4689521789551,GLFixedEffectModels Poisson,3,simple,2000000,julia
1,,fixest::fepois,2,simple,2000000,r
2,,fixest::fepois,2,simple,2000000,r
3,,fixest::fepois,2,simple,2000000,r
1,,fixest::fepois,3,simple,2000000,r
2,,fixest::fepois,3,simple,2000000,r
3,,fixest::fepois,3,simple,2000000,r
1,2.88690333400155,pyfixest.fepois (numba),2,simple,2000000,python
2,2.892787333054,pyfixest.fepois (numba),2,simple,2000000,python
3,2.92128129198682,pyfixest.fepois (numba),2,simple,2000000,python
1,27.6225533339894,pyfixest.fepois (numba),3,simple,2000000,python
2,24.1479342500097,pyfixest.fepois (numba),3,simple,2000000,python
3,27.1367303329753,pyfixest.fepois (numba),3,simple,2000000,python
1,2.9051155000343,pyfixest.fepois (rust),2,simple,2000000,python
2,2.93876104196534,pyfixest.fepois (rust),2,simple,2000000,python
3,3.04051445797086,pyfixest.fepois (rust),2,simple,2000000,python
1,27.2930740420125,pyfixest.fepois (rust),3,simple,2000000,python
2,24.2569239580189,pyfixest.fepois (rust),3,simple,2000000,python
3,27.3472446670057,pyfixest.fepois (rust),3,simple,2000000,python
