iter,time,est_name,n_fe,dgp_name,n_obs,language
1,0.0196631670005445,linearmodels.AbsorbingLS,3,simple,10000,python
2,0.0199302919972979,linearmodels.AbsorbingLS,3,simple,10000,python
3,0.0198197499994421,linearmodels.AbsorbingLS,3,simple,10000,python
1,0.003274209000665,pyfixest.feols (numba),2,simple,10000,python
2,0.00289091699960409,pyfixest.feols (numba),2,simple,10000,python
3,0.002612374999444,pyfixest.feols (numba),2,simple,10000,python
1,0.00385229200037429,pyfixest.feols (numba),3,simple,10000,python
2,0.00471545899927151,pyfixest.feols (numba),3,simple,10000,python
3,0.00371512499987148,pyfixest.feols (numba),3,simple,10000,python
1,0.00410033299704082,pyfixest.feols (rust),2,simple,10000,python
2,0.00482120800006669,pyfixest.feols (rust),2,simple,10000,python
3,0.00423954199868604,pyfixest.feols (rust),2,simple,10000,python
1,0.00702029199965182,pyfixest.feols (rust),3,simple,10000,python
2,0.00488908300030744,pyfixest.feols (rust),3,simple,10000,python
3,0.00639954100188334,pyfixest.feols (rust),3,simple,10000,python
1,0.829635375001089,statsmodels.OLS,2,simple,10000,python
2,0.831916292001552,statsmodels.OLS,2,simple,10000,python
3,0.824263915998017,statsmodels.OLS,2,simple,10000,python
1,0.916998749999038,statsmodels.OLS,3,simple,10000,python
2,0.910483040999679,statsmodels.OLS,3,simple,10000,python
3,0.91266862500197,statsmodels.OLS,3,simple,10000,python
1,0.0114901065826416,FixedEffectModels.reg,2,difficult,100000,julia
2,0.0105571746826172,FixedEffectModels.reg,2,difficult,100000,julia
3,0.00919580459594727,FixedEffectModels.reg,2,difficult,100000,julia
1,0.133249998092651,FixedEffectModels.reg,3,difficult,100000,julia
2,0.14936900138855,FixedEffectModels.reg,3,difficult,100000,julia
3,0.148252010345459,FixedEffectModels.reg,3,difficult,100000,julia
1,0.00869989395141602,fixest::feols,2,difficult,100000,r
2,0.00899720191955566,fixest::feols,2,difficult,100000,r
3,0.00873494148254395,fixest::feols,2,difficult,100000,r
1,0.18952202796936,fixest::feols,3,difficult,100000,r
2,0.213525056838989,fixest::feols,3,difficult,100000,r
3,0.200429201126099,fixest::feols,3,difficult,100000,r
1,0.0919928550720215,lfe::felm,2,difficult,100000,r
2,0.0937302112579346,lfe::felm,2,difficult,100000,r
3,0.0909039974212646,lfe::felm,2,difficult,100000,r
1,3.22081995010376,lfe::felm,3,difficult,100000,r
2,3.18552207946777,lfe::felm,3,difficult,100000,r
3,1.99199986457825,lfe::felm,3,difficult,100000,r
1,0.11077595900133,linearmodels.AbsorbingLS,2,difficult,100000,python
